,source,target
0,Jaanus Hmarsoo,Krt Johanson
1,Jaanus Hmarsoo,Krt Johanson
2,Jaanus Hmarsoo,Liis Semperi
3,Jaanus Hmarsoo,Mart Johanson
4,Krt Johanson,Jaanus Hmarsoo
5,Krt Johanson,Liis Semperi
6,Krt Johanson,Mart Johanson
7,Krt Johanson,Jaanus Hmarsoo
8,Krt Johanson,Liis Semperi
9,Krt Johanson,Mart Johanson
10,Liis Semperi,Jaanus Hmarsoo
11,Liis Semperi,Krt Johanson
12,Liis Semperi,Krt Johanson
13,Liis Semperi,Mart Johanson
14,Mart Johanson,Jaanus Hmarsoo
15,Mart Johanson,Krt Johanson
16,Mart Johanson,Krt Johanson
17,Mart Johanson,Liis Semperi
18,Vesta Ree,Rein Luik
19,Vesta Ree,Markko Mrt
20,Vesta Ree,Markko Mrtin
21,Vesta Ree,Rein Luik
22,Vesta Ree,Evelin Kivimaa
23,Vesta Ree,Nikland Lo
24,Vesta Ree,Robert Lep
25,Vesta Ree,Rein Luik
26,Vesta Ree,Jaan Habicht
27,Vesta Ree,Markko Mrt
28,Rein Luik,Vesta Ree
29,Rein Luik,Markko Mrt
30,Rein Luik,Markko Mrtin
31,Rein Luik,Evelin Kivimaa
32,Rein Luik,Nikland Lo
33,Rein Luik,Robert Lep
34,Rein Luik,Jaan Habicht
35,Rein Luik,Markko Mrt
36,Markko Mrt,Vesta Ree
37,Markko Mrt,Rein Luik
38,Markko Mrt,Markko Mrtin
39,Markko Mrt,Rein Luik
40,Markko Mrt,Evelin Kivimaa
41,Markko Mrt,Nikland Lo
42,Markko Mrt,Robert Lep
43,Markko Mrt,Rein Luik
44,Markko Mrt,Jaan Habicht
45,Markko Mrtin,Vesta Ree
46,Markko Mrtin,Rein Luik
47,Markko Mrtin,Markko Mrt
48,Markko Mrtin,Rein Luik
49,Markko Mrtin,Evelin Kivimaa
50,Markko Mrtin,Nikland Lo
51,Markko Mrtin,Robert Lep
52,Markko Mrtin,Rein Luik
53,Markko Mrtin,Jaan Habicht
54,Markko Mrtin,Markko Mrt
55,Rein Luik,Vesta Ree
56,Rein Luik,Markko Mrt
57,Rein Luik,Markko Mrtin
58,Rein Luik,Evelin Kivimaa
59,Rein Luik,Nikland Lo
60,Rein Luik,Robert Lep
61,Rein Luik,Jaan Habicht
62,Rein Luik,Markko Mrt
63,Evelin Kivimaa,Vesta Ree
64,Evelin Kivimaa,Rein Luik
65,Evelin Kivimaa,Markko Mrt
66,Evelin Kivimaa,Markko Mrtin
67,Evelin Kivimaa,Rein Luik
68,Evelin Kivimaa,Nikland Lo
69,Evelin Kivimaa,Robert Lep
70,Evelin Kivimaa,Rein Luik
71,Evelin Kivimaa,Jaan Habicht
72,Evelin Kivimaa,Markko Mrt
73,Nikland Lo,Vesta Ree
74,Nikland Lo,Rein Luik
75,Nikland Lo,Markko Mrt
76,Nikland Lo,Markko Mrtin
77,Nikland Lo,Rein Luik
78,Nikland Lo,Evelin Kivimaa
79,Nikland Lo,Robert Lep
80,Nikland Lo,Rein Luik
81,Nikland Lo,Jaan Habicht
82,Nikland Lo,Markko Mrt
83,Robert Lep,Vesta Ree
84,Robert Lep,Rein Luik
85,Robert Lep,Markko Mrt
86,Robert Lep,Markko Mrtin
87,Robert Lep,Rein Luik
88,Robert Lep,Evelin Kivimaa
89,Robert Lep,Nikland Lo
90,Robert Lep,Rein Luik
91,Robert Lep,Jaan Habicht
92,Robert Lep,Markko Mrt
93,Rein Luik,Vesta Ree
94,Rein Luik,Markko Mrt
95,Rein Luik,Markko Mrtin
96,Rein Luik,Evelin Kivimaa
97,Rein Luik,Nikland Lo
98,Rein Luik,Robert Lep
99,Rein Luik,Jaan Habicht
100,Rein Luik,Markko Mrt
101,Jaan Habicht,Vesta Ree
102,Jaan Habicht,Rein Luik
103,Jaan Habicht,Markko Mrt
104,Jaan Habicht,Markko Mrtin
105,Jaan Habicht,Rein Luik
106,Jaan Habicht,Evelin Kivimaa
107,Jaan Habicht,Nikland Lo
108,Jaan Habicht,Robert Lep
109,Jaan Habicht,Rein Luik
110,Jaan Habicht,Markko Mrt
111,Markko Mrt,Vesta Ree
112,Markko Mrt,Rein Luik
113,Markko Mrt,Markko Mrtin
114,Markko Mrt,Rein Luik
115,Markko Mrt,Evelin Kivimaa
116,Markko Mrt,Nikland Lo
117,Markko Mrt,Robert Lep
118,Markko Mrt,Rein Luik
119,Markko Mrt,Jaan Habicht
120,Meelis Kaps,Liisa Taikina
121,Meelis Kaps,Viivi Luik
122,Meelis Kaps,Vaino Vahing
123,Liisa Taikina,Meelis Kaps
124,Liisa Taikina,Viivi Luik
125,Liisa Taikina,Vaino Vahing
126,Viivi Luik,Meelis Kaps
127,Viivi Luik,Liisa Taikina
128,Viivi Luik,Vaino Vahing
129,Vaino Vahing,Meelis Kaps
130,Vaino Vahing,Liisa Taikina
131,Vaino Vahing,Viivi Luik
132,Jaanus Hmarsoo,Mait Maltis
133,Jaanus Hmarsoo,Mait Maltis
134,Jaanus Hmarsoo,Kristel Kirsimaa
135,Jaanus Hmarsoo,Mait Mal
136,Jaanus Hmarsoo,Mait Maltises
137,Jaanus Hmarsoo,Mait Mal
138,Jaanus Hmarsoo,rika Mal
139,Jaanus Hmarsoo,Erika Maltis
140,Mait Maltis,Jaanus Hmarsoo
141,Mait Maltis,Kristel Kirsimaa
142,Mait Maltis,Mait Mal
